Time	sum(Block size (kB)) – Bitcoin
22.02.2010	86860
23.02.2010	54084
24.02.2010	49425
25.02.2010	49724
26.02.2010	39761
27.02.2010	38434
28.02.2010	45927
01.03.2010	45895
02.03.2010	45381
03.03.2010	47123
04.03.2010	84189
05.03.2010	37276
06.03.2010	49317
07.03.2010	52035
08.03.2010	47962
09.03.2010	40798
10.03.2010	40432
11.03.2010	36104
12.03.2010	26967
13.03.2010	37136
14.03.2010	28379
15.03.2010	30316
16.03.2010	30239
17.03.2010	32391
18.03.2010	40095
19.03.2010	47931
20.03.2010	51036
21.03.2010	40877
22.03.2010	43567
23.03.2010	54284
24.03.2010	41609
25.03.2010	80544
26.03.2010	52068
27.03.2010	41688
28.03.2010	42761
29.03.2010	50417
30.03.2010	47945
31.03.2010	48313
01.04.2010	39900
02.04.2010	36150
03.04.2010	38056
04.04.2010	45442
05.04.2010	52396
06.04.2010	47108
07.04.2010	54580
08.04.2010	47884
09.04.2010	66267
10.04.2010	91234
11.04.2010	72089
12.04.2010	67266
13.04.2010	46359
14.04.2010	56137
15.04.2010	134861
16.04.2010	71771
17.04.2010	60619
18.04.2010	886809
19.04.2010	89292
20.04.2010	73030
21.04.2010	67271
22.04.2010	44556
23.04.2010	46160
24.04.2010	59894
25.04.2010	58743
26.04.2010	52600
27.04.2010	54474
28.04.2010	59059
29.04.2010	41214
30.04.2010	39495
01.05.2010	49523
02.05.2010	40027
03.05.2010	50135
04.05.2010	57986
05.05.2010	54148
06.05.2010	66588
07.05.2010	41488
08.05.2010	66985
09.05.2010	49258
10.05.2010	47575
11.05.2010	30042
12.05.2010	46530
13.05.2010	44038
14.05.2010	191194
15.05.2010	201635
16.05.2010	30951
17.05.2010	49714
18.05.2010	56799
19.05.2010	55789
20.05.2010	55727
21.05.2010	65808
22.05.2010	83725
23.05.2010	78557
24.05.2010	58565
25.05.2010	62486
26.05.2010	75181
27.05.2010	69584
28.05.2010	66069
29.05.2010	64171
30.05.2010	46287
31.05.2010	45695
01.06.2010	46126
02.06.2010	44144
03.06.2010	68525
04.06.2010	38276
05.06.2010	45514
06.06.2010	49965
07.06.2010	72693
08.06.2010	54586
09.06.2010	61676
10.06.2010	49693
11.06.2010	61990
12.06.2010	50021
13.06.2010	60578
14.06.2010	73004
15.06.2010	65982
16.06.2010	58035
17.06.2010	46951
18.06.2010	50034
19.06.2010	72140
20.06.2010	55001
21.06.2010	60719
22.06.2010	60608
23.06.2010	65819
24.06.2010	61265
25.06.2010	47293
26.06.2010	45518
27.06.2010	55625
28.06.2010	53145
29.06.2010	74471
30.06.2010	219707
01.07.2010	75308
02.07.2010	113494
03.07.2010	72458
04.07.2010	78667
05.07.2010	64974
06.07.2010	50158
07.07.2010	65794
08.07.2010	52175
09.07.2010	61766
10.07.2010	67545
11.07.2010	90168
12.07.2010	601301
13.07.2010	360099
14.07.2010	1645594
15.07.2010	544313
16.07.2010	308968
17.07.2010	126403
18.07.2010	145561
19.07.2010	145645
20.07.2010	192893
21.07.2010	129061
22.07.2010	100831
23.07.2010	102463
24.07.2010	288520
25.07.2010	745131
26.07.2010	242849
27.07.2010	126205
28.07.2010	544527
29.07.2010	441239
30.07.2010	112707
31.07.2010	95553
01.08.2010	103256
02.08.2010	105848
03.08.2010	187252
04.08.2010	118838
05.08.2010	202284
06.08.2010	111297
07.08.2010	99351
08.08.2010	105310
09.08.2010	297191
10.08.2010	90881
11.08.2010	115767
12.08.2010	99778
13.08.2010	180029
14.08.2010	138311
15.08.2010	83618
16.08.2010	154332
17.08.2010	87143
18.08.2010	266732
19.08.2010	84193
20.08.2010	114996
21.08.2010	93320
22.08.2010	100182
23.08.2010	103967
24.08.2010	179767
25.08.2010	89739
26.08.2010	118135
27.08.2010	81224
28.08.2010	103269
29.08.2010	67018
30.08.2010	100051
31.08.2010	179743
01.09.2010	140451
02.09.2010	94844
03.09.2010	83176
04.09.2010	74104
05.09.2010	90113
06.09.2010	79929
07.09.2010	74845
08.09.2010	92533
09.09.2010	96488
10.09.2010	99333
11.09.2010	80912
12.09.2010	123975
13.09.2010	132839
14.09.2010	121459
15.09.2010	129736
16.09.2010	120795
17.09.2010	151120
18.09.2010	107268
19.09.2010	106524
20.09.2010	140555
21.09.2010	267541
22.09.2010	216418
23.09.2010	195070
24.09.2010	139809
25.09.2010	160892
26.09.2010	120058
27.09.2010	219307
28.09.2010	259065
29.09.2010	360817
30.09.2010	109932
01.10.2010	170186
02.10.2010	181685
03.10.2010	114492
04.10.2010	139628
05.10.2010	126135
06.10.2010	121525
07.10.2010	106962
08.10.2010	133119
09.10.2010	142978
10.10.2010	112246
11.10.2010	104397
12.10.2010	108305
13.10.2010	153068
14.10.2010	116607
15.10.2010	94119
16.10.2010	146797
17.10.2010	131625
18.10.2010	182936
19.10.2010	298121
20.10.2010	229326
21.10.2010	180774
22.10.2010	194425
23.10.2010	157944
24.10.2010	161575
25.10.2010	133369
26.10.2010	153234
27.10.2010	193688
28.10.2010	159470
29.10.2010	162752
30.10.2010	119897
31.10.2010	96862
01.11.2010	102885
02.11.2010	79084
03.11.2010	99075
04.11.2010	103257
05.11.2010	154535
06.11.2010	115244
07.11.2010	127295
08.11.2010	232253
09.11.2010	118595
10.11.2010	111452
11.11.2010	111768
12.11.2010	79065
13.11.2010	99392
14.11.2010	143607
15.11.2010	1757332
16.11.2010	2157868
17.11.2010	124735
18.11.2010	353471
19.11.2010	2187175
20.11.2010	2209954
21.11.2010	2300864
22.11.2010	102332
23.11.2010	105488
24.11.2010	973660
25.11.2010	1722713
26.11.2010	371264
27.11.2010	134152
28.11.2010	123021
29.11.2010	144629
30.11.2010	130423
01.12.2010	163462
02.12.2010	130957
03.12.2010	129579
04.12.2010	132717
05.12.2010	116906
06.12.2010	121217
07.12.2010	179980
08.12.2010	148383
09.12.2010	145154
10.12.2010	103537
11.12.2010	168503
12.12.2010	180244
13.12.2010	247259
14.12.2010	176901
15.12.2010	180096
16.12.2010	153159
17.12.2010	163711
18.12.2010	140347
19.12.2010	190171
20.12.2010	268516
21.12.2010	181962
22.12.2010	194024
23.12.2010	162200
24.12.2010	148131
25.12.2010	167375
26.12.2010	166179
27.12.2010	183541
28.12.2010	188283
29.12.2010	161791
30.12.2010	177926
31.12.2010	154108
01.01.2011	200895
02.01.2011	179145
03.01.2011	387253
04.01.2011	250734
05.01.2011	378458
06.01.2011	217396
07.01.2011	274983
08.01.2011	387393
09.01.2011	349507
10.01.2011	370709
11.01.2011	396619
12.01.2011	320686
13.01.2011	379707
14.01.2011	370542
15.01.2011	300934
16.01.2011	294045
17.01.2011	241716
18.01.2011	260419
19.01.2011	286343
20.01.2011	264434
21.01.2011	380376
22.01.2011	519844
23.01.2011	376731
24.01.2011	434702
25.01.2011	258222
26.01.2011	303644
27.01.2011	298793
28.01.2011	331137
29.01.2011	484984
30.01.2011	1002772
31.01.2011	516224
01.02.2011	423246
02.02.2011	299197
03.02.2011	243703
04.02.2011	295905
05.02.2011	280019
06.02.2011	310794
07.02.2011	268228
08.02.2011	262840
09.02.2011	372905
10.02.2011	684211
11.02.2011	714933
12.02.2011	599491
13.02.2011	543335
14.02.2011	738815
15.02.2011	666600
16.02.2011	601252
17.02.2011	674618
18.02.2011	701391
19.02.2011	497429
20.02.2011	569419
21.02.2011	558958
22.02.2011	678126
23.02.2011	694813
24.02.2011	662269
25.02.2011	630970
26.02.2011	616678
27.02.2011	718206
28.02.2011	562727
01.03.2011	880722
02.03.2011	642932
03.03.2011	939632
04.03.2011	693187
05.03.2011	841250
06.03.2011	645417
07.03.2011	636480
08.03.2011	834757
09.03.2011	633037
10.03.2011	542691
11.03.2011	626504
12.03.2011	856768
13.03.2011	795116
14.03.2011	851321
15.03.2011	923416
16.03.2011	948013
17.03.2011	944007
18.03.2011	745084
19.03.2011	929805
20.03.2011	1400944
21.03.2011	1590135
22.03.2011	717377
23.03.2011	1445282
24.03.2011	787473
25.03.2011	747305
26.03.2011	1124602
27.03.2011	952388
28.03.2011	1071681
29.03.2011	922358
30.03.2011	643255
31.03.2011	791353
01.04.2011	618190
02.04.2011	638090
03.04.2011	618953
04.04.2011	825026
05.04.2011	761020
06.04.2011	667051
07.04.2011	602962
08.04.2011	688131
09.04.2011	627136
10.04.2011	669056
11.04.2011	775478
12.04.2011	915759
13.04.2011	938261
14.04.2011	1009623
15.04.2011	965924
16.04.2011	1066407
17.04.2011	829913
18.04.2011	1097983
19.04.2011	1268816
20.04.2011	1310697
21.04.2011	685630
22.04.2011	778507
23.04.2011	945018
24.04.2011	939772
25.04.2011	1152123
26.04.2011	1270995
27.04.2011	1949829
28.04.2011	1236224
29.04.2011	1350305
30.04.2011	1813680
01.05.2011	1681100
02.05.2011	1142387
03.05.2011	1199189
04.05.2011	1176103
05.05.2011	1457827
06.05.2011	1340346
07.05.2011	1368341
08.05.2011	1177008
09.05.2011	1474328
10.05.2011	1461596
11.05.2011	1360968
12.05.2011	1424116
13.05.2011	1948391
14.05.2011	1860168
15.05.2011	1706737
16.05.2011	1981498
17.05.2011	1905232
18.05.2011	2358523
19.05.2011	1977829
20.05.2011	2082203
21.05.2011	1981516
22.05.2011	2057540
23.05.2011	2339082
24.05.2011	2293651
25.05.2011	2626078
26.05.2011	2851494
27.05.2011	1889252
28.05.2011	1978663
29.05.2011	1926367
30.05.2011	2209870
31.05.2011	2573468
01.06.2011	2740548
02.06.2011	3062281
03.06.2011	4051569
04.06.2011	3753525
05.06.2011	3281599
06.06.2011	4264747
07.06.2011	3587764
08.06.2011	5674215
09.06.2011	5226822
10.06.2011	4714797
11.06.2011	4413161
12.06.2011	5292590
13.06.2011	4930970
14.06.2011	5585386
15.06.2011	5420231
16.06.2011	5432185
17.06.2011	4918041
18.06.2011	4785228
19.06.2011	4933468
20.06.2011	4329247
21.06.2011	4009484
22.06.2011	4359828
23.06.2011	4046804
24.06.2011	4303378
25.06.2011	4008086
26.06.2011	4298496
27.06.2011	5479495
28.06.2011	4483043
29.06.2011	4146690
30.06.2011	4040774
01.07.2011	4582113
02.07.2011	3704020
03.07.2011	3417720
04.07.2011	4053515
05.07.2011	4016869
06.07.2011	4736714
07.07.2011	3819588
08.07.2011	3623427
09.07.2011	3400530
10.07.2011	3927054
11.07.2011	4275169
12.07.2011	3487061
13.07.2011	3786186
14.07.2011	3792945
15.07.2011	3300931
16.07.2011	3704973
17.07.2011	3663397
18.07.2011	4590590
19.07.2011	4160301
20.07.2011	3862169
21.07.2011	3693250
22.07.2011	3824482
23.07.2011	3278810
24.07.2011	3597225
25.07.2011	4334976
26.07.2011	3789815
27.07.2011	3637009
28.07.2011	3725915
29.07.2011	3073274
30.07.2011	2602850
31.07.2011	3451011
01.08.2011	3724270
02.08.2011	3868091
03.08.2011	3480496
04.08.2011	3495977
05.08.2011	3119981
06.08.2011	3179587
07.08.2011	2825558
08.08.2011	3699649
09.08.2011	4113900
10.08.2011	3503564
11.08.2011	3100577
12.08.2011	2923253
13.08.2011	3136749
14.08.2011	3434045
15.08.2011	3836999
16.08.2011	4062849
17.08.2011	3480845
18.08.2011	3165343
19.08.2011	3543137
20.08.2011	3117595
21.08.2011	3247404
22.08.2011	3524536
23.08.2011	3200633
24.08.2011	3164988
25.08.2011	3172975
26.08.2011	3376413
27.08.2011	3043455
28.08.2011	2463154
29.08.2011	3428745
30.08.2011	3180346
31.08.2011	2958342
01.09.2011	3071295
02.09.2011	2866694
03.09.2011	2483022
04.09.2011	5381859
05.09.2011	3093817
06.09.2011	3498998
07.09.2011	3035582
08.09.2011	2828256
09.09.2011	3920668
10.09.2011	2903609
11.09.2011	2931773
12.09.2011	3089557
13.09.2011	2699246
14.09.2011	2629027
15.09.2011	2845363
16.09.2011	2634170
17.09.2011	2293548
18.09.2011	2485200
19.09.2011	3083335
20.09.2011	3936920
21.09.2011	3743313
22.09.2011	2663712
23.09.2011	2675820
24.09.2011	2687677
25.09.2011	2611305
26.09.2011	2416046
27.09.2011	2646141
28.09.2011	2475283
29.09.2011	2257795
30.09.2011	2415469
01.10.2011	2314940
02.10.2011	2095075
03.10.2011	2616161
04.10.2011	2536628
05.10.2011	2457054
06.10.2011	2599997
07.10.2011	2469797
08.10.2011	2283348
09.10.2011	2312234
10.10.2011	2422818
11.10.2011	2699091
12.10.2011	2585754
13.10.2011	2128818
14.10.2011	2632635
15.10.2011	2332060
16.10.2011	2150952
17.10.2011	2688313
18.10.2011	2128803
19.10.2011	2199325
20.10.2011	1873500
21.10.2011	1961836
22.10.2011	2160788
23.10.2011	2270952
24.10.2011	2447596
25.10.2011	2189026
26.10.2011	2222447
27.10.2011	1923254
28.10.2011	2245447
29.10.2011	2452810
30.10.2011	2054685
31.10.2011	2081891
01.11.2011	2313755
02.11.2011	2351290
03.11.2011	2424035
04.11.2011	2783995
05.11.2011	2500655
06.11.2011	1915623
07.11.2011	2382112
08.11.2011	2684374
09.11.2011	2730467
10.11.2011	2794431
11.11.2011	2253016
12.11.2011	2194806
13.11.2011	2127430
14.11.2011	2631451
15.11.2011	2703977
16.11.2011	2619979
17.11.2011	2249661
18.11.2011	2211581
19.11.2011	2060194
20.11.2011	2415213
21.11.2011	1954420
22.11.2011	2359266
23.11.2011	2271170
24.11.2011	2274111
25.11.2011	2280628
26.11.2011	2079069
27.11.2011	2060349
28.11.2011	2556796
29.11.2011	3006948
30.11.2011	3305571
01.12.2011	2964111
02.12.2011	2707281
03.12.2011	2486658
04.12.2011	2295513
05.12.2011	2608124
06.12.2011	3388079
07.12.2011	2686947
08.12.2011	2764778
09.12.2011	2364151
10.12.2011	2373933
11.12.2011	2670128
12.12.2011	2410908
13.12.2011	2461477
14.12.2011	2398797
15.12.2011	1931203
16.12.2011	2344783
17.12.2011	2179850
18.12.2011	1939618
19.12.2011	2752546
20.12.2011	3346408
21.12.2011	2432407
22.12.2011	2563203
23.12.2011	2362983
24.12.2011	1937438
25.12.2011	2242919
26.12.2011	2432155
27.12.2011	2339225
28.12.2011	2225434
29.12.2011	2319006
30.12.2011	2123851
31.12.2011	2452639
01.01.2012	2612161
02.01.2012	2887233
03.01.2012	2895675
04.01.2012	2883241
05.01.2012	3627557
06.01.2012	3719696
07.01.2012	3072932
08.01.2012	3328658
09.01.2012	3344167
10.01.2012	4183548
11.01.2012	4209990
12.01.2012	3131527
13.01.2012	3046446
14.01.2012	2995725
15.01.2012	2902815
16.01.2012	3448179
17.01.2012	3073451
18.01.2012	3176391
19.01.2012	3186241
20.01.2012	3026895
21.01.2012	3003741
22.01.2012	2260718
23.01.2012	2588936
24.01.2012	3349670
25.01.2012	3706189
26.01.2012	3049156
27.01.2012	3014871
28.01.2012	2775103
29.01.2012	3003893
30.01.2012	2716309
31.01.2012	3288910
01.02.2012	2941676
02.02.2012	3450436
03.02.2012	3281725
04.02.2012	3313395
05.02.2012	3020615
06.02.2012	2737458
07.02.2012	3033411
08.02.2012	3065485
09.02.2012	3367000
10.02.2012	3799497
11.02.2012	3474671
12.02.2012	3099721
13.02.2012	3616211
14.02.2012	4401042
15.02.2012	4025204
16.02.2012	4492217
17.02.2012	2858823
18.02.2012	2793341
19.02.2012	2607031
20.02.2012	2676000
21.02.2012	2962142
22.02.2012	3113798
23.02.2012	3746807
24.02.2012	3317997
25.02.2012	2997409
26.02.2012	2702395
27.02.2012	3013529
28.02.2012	3094675
29.02.2012	3050955
01.03.2012	3425868
02.03.2012	3756955
03.03.2012	2287475
04.03.2012	2949780
05.03.2012	3537005
06.03.2012	3204123
07.03.2012	2961968
08.03.2012	3111882
09.03.2012	3143564
10.03.2012	3024960
11.03.2012	2600568
12.03.2012	2971683
13.03.2012	3968650
14.03.2012	3579240
15.03.2012	3035079
16.03.2012	3092303
17.03.2012	3083941
18.03.2012	2620049
19.03.2012	3023387
20.03.2012	3043174
21.03.2012	3100665
22.03.2012	3039836
23.03.2012	2698245
24.03.2012	2724791
25.03.2012	2836115
26.03.2012	3186100
27.03.2012	3047870
28.03.2012	3342709
29.03.2012	3362509
30.03.2012	3137777
31.03.2012	2749915
01.04.2012	2630911
02.04.2012	3069050
03.04.2012	3628373
04.04.2012	3217187
05.04.2012	3500753
06.04.2012	3458380
07.04.2012	2728843
08.04.2012	2688829
09.04.2012	2948498
10.04.2012	3724666
11.04.2012	3711412
12.04.2012	3744952
13.04.2012	3235948
14.04.2012	3525994
15.04.2012	3169153
16.04.2012	4114007
17.04.2012	3919698
18.04.2012	4288210
19.04.2012	3711365
20.04.2012	4347086
21.04.2012	3419236
22.04.2012	2965544
23.04.2012	3358319
24.04.2012	3455314
25.04.2012	3473363
26.04.2012	4247673
27.04.2012	3380332
28.04.2012	3333769
29.04.2012	3393977
30.04.2012	4188033
01.05.2012	4789773
02.05.2012	4730208
03.05.2012	6115511
04.05.2012	6294602
05.05.2012	5702527
06.05.2012	5691923
07.05.2012	8101158
08.05.2012	7782446
09.05.2012	7937450
10.05.2012	5388641
11.05.2012	8525220
12.05.2012	7916541
13.05.2012	6433618
14.05.2012	12450432
15.05.2012	10054510
16.05.2012	8555466
17.05.2012	7882270
18.05.2012	10973185
19.05.2012	15587077
20.05.2012	13710329
21.05.2012	13897712
22.05.2012	10433238
23.05.2012	12203647
24.05.2012	11817692
25.05.2012	12632633
26.05.2012	10085880
27.05.2012	11574834
28.05.2012	13256143
29.05.2012	13300468
30.05.2012	11545987
31.05.2012	9509164
01.06.2012	12091567
02.06.2012	5796672
03.06.2012	14682177
04.06.2012	20188882
05.06.2012	18839321
06.06.2012	7319618
07.06.2012	14527961
08.06.2012	11052628
09.06.2012	14531739
10.06.2012	17050239
11.06.2012	14094136
12.06.2012	9185928
13.06.2012	24169988
14.06.2012	27986616
15.06.2012	24526789
16.06.2012	19552888
17.06.2012	18710285
18.06.2012	17472609
19.06.2012	16593532
20.06.2012	15263024
21.06.2012	12605696
22.06.2012	11132943
23.06.2012	10532163
24.06.2012	10259923
25.06.2012	12799182
26.06.2012	13194201
27.06.2012	13498171
28.06.2012	11708965
29.06.2012	9583368
30.06.2012	9522944
01.07.2012	8048663
02.07.2012	10428338
03.07.2012	9673328
04.07.2012	10139604
05.07.2012	9765089
06.07.2012	10564733
07.07.2012	10631118
08.07.2012	9067341
09.07.2012	10954166
10.07.2012	15261790
11.07.2012	13833312
12.07.2012	10700695
13.07.2012	11540126
14.07.2012	9905400
15.07.2012	11445269
16.07.2012	14158727
17.07.2012	15714261
18.07.2012	15118667
19.07.2012	14485516
20.07.2012	16457437
21.07.2012	14868115
22.07.2012	14229754
23.07.2012	13780390
24.07.2012	12334577
25.07.2012	11469499
26.07.2012	13364221
27.07.2012	11199178
28.07.2012	14410264
29.07.2012	14676121
30.07.2012	15761540
31.07.2012	17859754
01.08.2012	13261346
02.08.2012	14374280
03.08.2012	11827335
04.08.2012	12724835
05.08.2012	13676762
06.08.2012	14317430
07.08.2012	11683073
08.08.2012	16495135
09.08.2012	13091069
10.08.2012	11511424
11.08.2012	13105432
12.08.2012	14067739
13.08.2012	20409018
14.08.2012	14902732
15.08.2012	24067381
16.08.2012	19696338
17.08.2012	17401768
18.08.2012	15202650
19.08.2012	18232004
20.08.2012	15952589
21.08.2012	17130204
22.08.2012	15657977
23.08.2012	12721514
24.08.2012	12969609
25.08.2012	13642702
26.08.2012	12226939
27.08.2012	13796798
28.08.2012	12624625
29.08.2012	13747068
30.08.2012	14093556
31.08.2012	16576518
01.09.2012	16760453
02.09.2012	14200315
03.09.2012	16289244
04.09.2012	17762968
05.09.2012	17860257
06.09.2012	17815869
07.09.2012	14018533
08.09.2012	13363219
09.09.2012	12908117
10.09.2012	14280680
11.09.2012	16152893
